Dia;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;
1; 30,1; 30,2; 33,0; 24,7; 20,0; 24,8; 23,1; 34,5; 28,6; 29,0; 12,5; 35,0;
2; 32,1; 28,2; 37,8; 20,6; 20,5; 27,4; 27,6; 30,0; 23,6; 30,1; 14,4; 33,0;
3; 31,5; 29,0; 35,2; 26,6; 19,2; 24,3; 25,5; 21,5; 13,6; 24,4; 24,5; 27,6;
4; 33,5; 29,0; 37,5; 24,7; 18,4; 19,2; 30,1; 23,3; 17,4; 23,4; 27,5; 18,3;
5; 35,5; 32,6; 37,2; 25,4; 16,5; 21,6; 20,5; 23,0; 17,4; 27,7; 30,5; 19,5;
6; 36,7; 35,3; 35,5; 28,3; 21,7; 26,2; 16,0; 26,0; 16,2; 29,6; 33,8; 28,4;
7; 38,2; 36,7; 32,1; 29,4; 26,4; 21,5; 14,5; 18,7; 20,4; 28,2; 43,7; 32,5;
8; 37,8; 32,7; 36,2; 29,8; 24,8; 29,6; 20,8; 17,0; 18,8; 31,2; 30,3; 30,0;
9; 38,2; 34,5; 36,2; 30,4; 27,5; 23,2; 16,8; 19,7; 24,2; 32,6; 29,6; 27,4;
10; 39,5; 35,2; 37,4; 30,6; 23,4; 14,9; 15,8; 26,0; 35,0; 38,5; 29,5; 32,8;
11; 33,2; 35,8; 37,5; 31,3; 24,6; 15,5; 13,5; 17,6; 33,6; 25,6; 33,6; 33,7;
12; 25,8; 39,1; 37,5; 25,5; 27,6; 14,8; 10,6; 16,0; 20,0; 21,0; 28,0; 35,5;
13; 30,6; 33,6; 37,5; 16,0; 28,5; 15,0;  9,0; 27,2; 22,0; 23,8; 28,0; 31,6;
14; 34,5; 33,2; 31,1; 17,8; 30,0; 17,6; 15,2; 32,6; 28,5; 26,5; 28,1; 31,3;
15; 34,1; 36,0; 34,2; 19,6; 30,6; 17,4; 15,8; 33,5; 35,0; 31,6; 32,0; 32,4;
16; 35,6; 31,0; 34,3; 22,0; 29,6; 18,5; 12,4; 28,0; 30,6; 30,4; 26,5; 38,5;
17; 36,2; 18,6; 35,5; 22,7; 28,1; 14,3;  9,5; 21,5; 26,4; 25,5; 35,5; 33,2;
18; 32,6; 23,5; 35,0; 24,8; 22,4; 18,0; 15,4; 19,2; 21,4; 21,3; 28,2; 21,4;
19; 35,4; 28,5; 34,5; 26,5; 23,5; 14,3; 15,8; 24,5; 23,0; 29,0; 29,9; 17,9;
20; 39,2; 31,0; 27,5; 26,5; 19,2; 13,0; 23,5; 20,6; 23,8; 31,1; 38,4; 22,5;
21; 32,5; 33,5; 23,9; 23,2; 21,2; 13,5; 29,2; 34,2; 31,8; 34,5; 31,6; 28,6;
22; 32,9; 28,5; 23,8; 24,5; 23,5; 18,7; 22,2; 23,6; 26,5; 29,6; 30,8; 30,5;
23; 33,0; 31,0; 22,6; 22,5; 26,5; 21,7; 15,5; 19,0; 21,6; 26,3; 30,8; 35,2;
24; 30,6; 31,4; 23,0; 20,7; 26,5; 20,8; 15,5; 20,7; 24,2; 23,0; 29,7; 33,5;
25; 31,3; 34,1; 29,5; 25,9; 23,0; 21,4; 15,6; 19,3; 23,5; 21,4; 32,5; 32,2;
26; 32,8; 31,4; 24,6; 28,6; 20,7; 23,6; 19,4; 15,5; 20,8; 26,6; 35,6; 33,0;
27; 29,2; 35,9; 27,5; 30,0; 17,8; 21,4; 20,8; 19,8; 26,0; 32,7; 35,7; 35,8;
28; 29,5; 36,1; 32,1; 30,6; 16,6; 19,2; 22,0; 21,7; 26,2; 32,3; 34,5; 39,5;
29; 26,7;s/d; 27,1; 32,0; 15,1; 16,9; 29,5; 26,4; 20,8; 38,8; 28,7; 36,1;
30; 32,5;s/d; 28,3; 26,3; 21,0; 19,6; 27,6; 32,7; 24,8; 28,5; 28,0; 29,6;
31; 33,7;s/d; 22,1;s/d; 23,8;s/d; 28,2; 22,0;s/d; 23,6;s/d; 32,3;
