Dia;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;
1; 22,6; 25,6; 26,7; 18,9; 16,6; 16,7; 13,3; 23,4; 19,5; 20,6; 10,1; 26,0;
2; 24,5; 22,2; 27,9; 18,8; 16,4; 20,5; 20,8; 20,5; 14,1; 22,4; 11,3; 26,4;
3; 24,5; 23,8; 27,6; 20,8; 15,4; 18,5; 19,2; 16,3; 10,5; 17,5; 15,0; 16,2;
4; 26,1; 23,5; 28,2; 20,8; 15,2; 15,7; 22,1; 14,6; 12,8; 16,1; 20,0; 15,8;
5; 27,5; 25,8; 29,3; 20,8; 14,7; 16,3; 17,0; 16,9; 12,0; 19,0; 22,2; 16,5;
6; 28,8; 27,2; 27,2; 22,9; 15,1; 18,5; 14,5; 16,7; 12,4; 19,9; 25,6; 22,0;
7; 29,7; 29,1; 24,1; 23,4; 16,1; 17,6; 12,4; 13,6; 13,8; 20,7; 30,5; 25,1;
8; 31,3; 27,0; 26,5; 23,6; 16,3; 21,5; 14,9; 11,4; 12,9; 22,5; 24,3; 24,1;
9; 30,8; 28,1; 28,2; 23,4; 17,3; 17,0; 15,2; 11,5; 15,1; 25,5; 22,9; 22,3;
10; 31,6; 28,3; 29,3; 23,5; 17,0; 12,1; 13,9; 17,4; 22,9; 26,9; 24,0; 24,4;
11; 23,8; 29,6; 30,5; 24,1; 17,8; 10,3; 10,2; 13,2; 21,6; 17,2; 26,8; 26,4;
12; 19,4; 32,4; 31,1; 19,9; 18,3;  6,9;  8,3; 11,6; 15,0; 13,6; 19,6; 28,8;
13; 22,8; 27,5; 31,4; 14,4; 18,8;  6,1;  6,1; 16,0; 15,0; 16,4; 19,5; 25,4;
14; 25,8; 27,3; 23,2; 14,8; 19,6;  7,6;  7,5; 18,2; 17,6; 19,3; 21,1; 25,6;
15; 27,3; 27,9; 26,8; 16,0; 19,9;  8,6;  8,9; 22,5; 22,2; 22,3; 23,1; 27,4;
16; 28,8; 21,1; 28,0; 16,9; 22,7;  8,7;  8,5; 20,3; 22,4; 23,9; 21,3; 29,8;
17; 29,7; 13,7; 28,0; 17,1; 22,3;  8,4;  7,6; 14,8; 18,6; 20,4; 25,2; 24,3;
18; 25,7; 15,1; 27,7; 16,3; 15,3;  9,8;  9,5; 13,3; 14,6; 16,0; 21,5; 18,0;
19; 29,1; 19,8; 28,5; 17,3; 18,5; 12,3; 10,0; 14,3; 15,7; 20,4; 23,3; 15,6;
20; 30,7; 23,2; 23,2; 18,2; 14,1; 10,9; 13,1; 13,4; 17,3; 23,1; 29,2; 18,7;
21; 25,3; 25,5; 21,7; 17,7; 15,2; 11,5; 17,0; 21,9; 22,0; 27,3; 25,3; 22,8;
22; 26,2; 21,3; 20,7; 18,8; 17,6; 11,5; 16,3; 15,3; 20,6; 23,6; 23,0; 25,3;
23; 26,2; 22,6; 20,4; 18,7; 20,5; 12,3; 12,2; 12,9; 18,7; 20,1; 24,9; 28,0;
24; 27,1; 23,6; 21,9; 16,5; 20,4; 12,9; 11,3; 14,6; 19,5; 17,6; 25,0; 26,3;
25; 24,9; 24,1; 23,3; 18,0; 20,2; 13,0;  9,5; 12,3; 19,5; 18,3; 25,8; 25,7;
26; 26,8; 24,2; 21,1; 19,4; 18,5; 14,1; 11,2; 12,2; 15,6; 20,6; 27,8; 26,4;
27; 24,1; 25,9; 22,4; 20,4; 13,1; 14,6; 12,5; 13,0; 16,3; 22,2; 28,6; 28,4;
28; 24,3; 28,8; 25,5; 21,7; 11,2; 12,9; 13,0; 15,1; 19,0; 24,2; 28,3; 29,2;
29; 24,1;s/d; 23,0; 23,6; 12,5; 11,4; 16,9; 16,1; 17,3; 29,3; 21,6; 29,2;
30; 26,7;s/d; 20,2; 19,6; 13,5; 13,4; 16,9; 21,1; 17,4; 18,2; 22,5; 23,2;
31; 28,0;s/d; 19,2;s/d; 15,2;s/d; 18,4; 15,9;s/d; 17,3;s/d; 25,1;
