Dia;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;
1; 19,0; 20,9; 23,0; 13,8; 14,5;  8,5;  5,5; 15,2; 11,4; 12,6;  9,2; 23,8;
2; 15,0; 17,5; 19,2; 18,0; 12,5; 15,2; 15,3; 14,6;  8,5; 15,2;  8,8; 18,9;
3; 18,0; 19,0; 20,6; 16,9; 12,4; 14,6; 13,1; 14,2;  8,4; 12,7;  4,8; 10,8;
4; 17,5; 17,9; 20,2; 18,2; 11,8; 13,9; 17,5;  8,0;  9,5;  7,0;  9,8; 13,2;
5; 18,0; 17,8; 21,9; 16,7; 12,8; 12,7; 14,9; 12,9;  6,2;  9,5; 14,0; 12,7;
6; 19,8; 18,6; 18,6; 17,8;  9,8; 14,0; 12,6;  9,1;  9,6; 11,8; 16,4; 17,6;
7; 21,0; 21,0; 18,0; 18,2;  8,8; 14,4; 10,6;  8,0; 11,0; 11,8; 22,1; 15,0;
8; 24,4; 21,7; 18,5; 19,5;  9,5; 16,0; 11,6;  6,5;  6,6; 11,6; 18,2; 19,2;
9; 23,0; 22,4; 21,2; 19,0; 10,5; 14,0; 13,5;  5,1;  7,0; 15,9; 16,0; 20,2;
10; 22,8; 20,2; 21,2; 18,0; 11,5; 10,0; 13,5; 11,4; 11,5; 19,7; 20,2; 15,0;
11; 19,0; 20,5; 25,0; 19,1; 13,2;  7,0;  8,9;  7,5; 17,8; 14,5; 18,5; 19,0;
12; 16,5; 26,9; 26,5; 16,0; 12,7;  0,4;  7,1;  7,5;  8,4;  6,2; 16,4; 22,0;
13; 13,7; 21,0; 25,6; 12,0; 11,4; -0,6;  3,0;  7,5;  8,5;  7,5; 12,5; 23,4;
14; 15,8; 22,5; 20,8; 12,0; 11,6; -1,0;  2,4;  7,9;  9,6; 11,9; 14,5; 21,8;
15; 18,5; 21,5; 20,5; 13,1; 11,5;  1,4;  2,7; 13,5; 11,7; 10,8; 16,4; 23,0;
16; 20,8; 18,0; 22,0; 13,0; 16,8;  1,9;  3,8; 14,6; 15,0; 17,0; 15,0; 24,2;
17; 21,3; 11,4; 21,4; 12,5; 17,2;  3,0;  5,0; 10,8; 13,5; 16,4; 18,3; 21,4;
18; 19,2;  5,1; 21,2;  8,5; 10,4;  1,6;  7,0;  9,5;  9,2; 14,3; 17,2; 15,0;
19; 22,9; 11,6; 22,8;  9,7; 15,0; 10,3;  6,2;  7,0;  8,0; 11,2; 16,0; 13,0;
20; 27,5; 15,5; 20,2; 11,0; 12,8;  9,2;  5,5;  6,0; 13,0; 13,0; 20,8; 15,5;
21; 17,5; 16,5; 19,7; 13,2; 11,7;  8,8;  9,0; 10,5; 13,0; 20,8; 20,5; 17,2;
22; 21,5; 18,9; 18,3; 14,0; 12,0;  6,5; 12,8; 11,0; 16,4; 17,8; 16,2; 21,1;
23; 18,8; 15,7; 19,0; 15,0; 16,5;  6,2;  9,2;  7,8; 15,5; 16,9; 18,5; 20,4;
24; 23,0; 17,7; 20,4; 13,8; 14,9;  7,5;  9,2; 11,2; 14,4; 14,0; 19,2; 19,6;
25; 19,5; 16,9; 18,4; 11,4; 18,0;  6,3;  5,5;  6,6; 15,1; 15,2; 18,4; 21,1;
26; 20,5; 17,9; 16,9; 11,4; 17,2;  7,8;  5,0;  9,7; 12,5; 14,0; 19,7; 19,5;
27; 19,9; 16,6; 18,4; 12,8; 10,2;  8,7;  7,0;  8,5;  5,9; 15,4; 22,4; 21,4;
28; 18,4; 21,5; 20,1; 14,0;  7,8;  7,8;  4,5; 10,0; 12,8; 13,6; 22,4; 23,6;
29; 20,2;s/d; 20,5; 16,5;  9,5;  6,0;  8,0;  6,0; 14,8; 21,3; 18,0; 21,1;
30; 20,6;s/d; 12,9; 15,0;  7,0;  9,6; 10,8; 12,9; 10,7;  9,9; 17,6; 18,2;
31; 21,6;s/d; 17,2;s/d;  8,0;s/d;  9,0;  8,5;s/d; 12,3;s/d; 20,2;
